#open, high, low, volume, close
262000,267000,261500,202587,263000
267000,271500,262500,235031,268500
271000,271000,262000,174610,265500
262500,270000,258500,229550,261500
260000,260500,257000,281448,258000
255500,259000,251500,255838,252000
253000,264500,251500,375602,257000
261500,262000,257500,272264,257500
262000,275500,261500,368144,275000
273000,276000,272500,355980,273000
269000,273000,266500,235332,270500
269500,275000,261000,391861,262000
262500,263500,255500,311225,259000
261000,264500,260500,171759,262000
265000,267000,255500,206987,259500
259000,259500,251000,332448,254000
257500,257500,252500,369086,254000
254000,255500,245500,549156,246500
250000,260500,250000,368808,259500
259000,259500,253000,363982,255500
257500,258000,253000,234098,256000
255500,256000,253000,235571,254500
254500,259500,253000,249608,257500
258000,258500,255000,157322,256500
256000,261500,256000,247522,260000
261000,263500,258000,147467,259500
260000,262500,251500,773677,255000
254000,259000,252000,272716,258500
259000,261500,258500,320582,260500
261000,265000,259000,319798,262500
265500,267500,263500,337310,265500
268500,278500,266500,632486,277500
278000,278500,272500,429341,274000
275000,275500,268000,197466,269000
270500,273000,264000,342460,264500
265500,268000,264500,111268,264500
265500,268500,264500,143557,266500
265500,266000,259000,250645,259000
261500,264000,260500,206961,262000
265000,265000,261000,151591,262500
267000,267500,263000,132291,265000
265500,267500,263000,118350,267000
266000,267000,262000,165863,266000
263500,270000,262000,214519,268000
267500,270000,265000,134894,269500
268500,271500,264500,209422,266500
262000,269000,262000,205507,263500
260500,266500,260000,213525,263500
263500,271000,263000,307130,269500
270500,274000,270000,155298,271500
270500,274500,269000,148275,270500
265000,273000,264000,180386,271500
271500,278000,271500,421767,277000
278500,280000,276000,346127,279000
282000,283500,279500,269488,281500
280500,281000,275000,298240,277000
275000,281000,275000,144642,277500
280500,285500,279000,275513,282000
283500,288500,281000,290629,284000
284000,289500,284000,294311,289500
288000,290500,286500,229382,290500
291500,291500,285500,266146,288500
286000,288000,279500,359269,283000
284000,285500,280500,201229,283500
287500,290000,286500,176338,289000
294500,295000,287500,215481,292000
294500,297500,290000,213891,295500
293000,297000,292000,147431,296000
294000,296500,292500,155003,295000
295000,295500,285500,268370,288500
291500,297000,289500,197244,293500
290500,291000,286000,185397,286000
285500,291000,285500,112257,288500
291500,291500,279000,247350,281000
284500,284500,280000,155387,281000
279000,281000,277000,180201,279000
276500,281500,275500,169035,281000
283000,287000,281500,211940,285000
288000,290500,285500,148938,288500
286000,288500,284500,157875,286500
287500,293000,287500,153793,290000
290500,293000,288500,154837,291500
294000,296500,291500,147054,293000
295000,295000,286000,216865,290000
288000,290000,286000,150494,287000
287500,292000,286500,166360,291000
288000,292500,287000,224398,288500
287000,289000,279500,248958,283000
284000,295000,281500,405224,294000
294000,310000,294000,518280,301500
300000,304500,298000,254135,304500
301000,302500,296000,280117,298500
296000,301500,295000,145834,299500
305000,305500,297000,149263,300000
297500,303000,294500,107642,299500
306500,309500,301000,184599,304000
302000,308000,302000,137637,306000
303500,308500,302500,152003,307000
304000,309500,303000,152522,305500
305500,308000,301000,111168,308000
305500,310000,300000,214335,301500
299000,301000,291000,212795,294500
293500,296000,288000,191327,292000
295500,302000,294000,165572,295000
296000,302000,296000,124753,298500
298500,309000,298000,217364,307500
309500,309500,300500,178324,303000
300000,302000,297000,171606,302000
302000,304500,299000,69108,301000
302000,303500,297500,178233,299000
299000,304500,295000,119264,302500
300500,308500,299000,144497,308500
308500,310000,304000,146682,307000
307000,309000,302500,111213,307000
312000,315000,308000,179103,311500
315000,316000,298000,354859,302000
298000,302000,295000,180066,298000
297500,299000,293000,164420,296000
294000,294000,289000,176242,289000
290000,293000,289500,120358,291500
297000,298500,291500,205698,293500
293000,295000,289500,113446,290000
293000,293000,289500,127031,291500
292000,292000,288000,144602,290000
288000,290500,287500,114180,287500
294000,295500,289000,173621,291000
296000,296500,291000,151323,292000
292000,293000,275500,398200,280500
279000,285000,278000,129241,281500
284500,286500,283000,128619,285000
287000,288000,285500,104971,287000
288500,289500,286500,123487,288500
286000,290500,285500,78932,289000
289000,295000,287000,155784,293500
296500,297000,277500,244998,279000
280500,282000,274000,229897,276000
276000,282000,273000,129770,279500
278000,284000,277500,149264,277500
278500,279000,274000,160529,276000
276000,280000,270000,252877,270000
274000,278000,272000,144806,273500
275000,283000,275000,177715,279500
280500,285500,277000,202304,280000
284500,285000,279500,101282,280000
279500,283500,279000,129061,281500
284500,287500,282500,213956,283500
281500,289000,280500,145866,287000
289500,295000,286000,214166,292500
292500,295000,289000,142503,292000
293500,294500,288500,162415,292000
292000,292500,285000,151633,292500
285000,305000,284500,348829,294000
297500,309000,295000,506403,304500
304000,313000,302500,295050,310000
302000,304000,298000,339987,301000
295500,301500,295500,295488,295500
300000,309000,299000,222159,307500
310000,311000,303000,214826,306000
303000,310000,303000,170925,309500
304500,314500,303500,139557,313000
312000,319000,310000,150238,312000
310000,315000,306000,216539,310000
310000,315500,309500,109420,313500
314000,318000,311000,98281,317500
316000,317000,305500,245086,306500
308000,308500,302000,168053,306000
303000,305000,299500,181363,305000
301000,308000,301000,158953,307500
309000,312500,308500,121383,312500
310000,312000,308000,74417,311500
314000,314000,309500,120182,313000
310500,313000,301500,161805,311500
308500,311500,306500,175227,308000
309500,313500,308500,166105,313500
309500,313000,307000,128067,312000
305000,308000,302500,203119,303000
306500,307000,301000,176813,302000
303500,305500,301500,113246,304000
305000,305000,301500,96695,303500
302000,304000,299000,98645,301000
301500,304000,298000,102047,303500
303500,305000,298000,129551,299500
301500,301500,295500,133774,295500
294000,298500,291500,147983,296000
294500,303500,294500,105594,301000
301500,303500,299000,79798,302000
300000,306000,300000,89616,304000
301500,304000,299000,99142,299000
303000,305000,300000,97460,301500
305000,305500,301000,91645,303000
301500,306000,300500,90408,306000
304000,312500,304000,179837,312500
312000,318000,310500,181506,317000
319000,319500,314500,151010,318000
315500,318500,311500,171313,315000
317500,319500,314000,180604,318500
322000,322000,316000,134538,321000
323000,323500,312000,156731,315500
318500,318500,314000,223843,316500
320000,320000,309000,204942,314000
312000,317500,312000,119426,315500
314000,317000,309500,175423,315000
315000,315000,301500,391646,306500
301500,303500,300000,278367,301000
300000,307000,300000,136968,306000
311000,311000,302500,168685,306000
307500,308000,302500,103877,307000
309000,309000,304000,103324,308500
310000,313500,308500,111047,312000
310500,312500,307500,101634,310500
309500,311500,306500,91023,308500
311500,312000,304000,122039,304500
308000,309000,305000,121799,308000
305500,308000,300000,222424,302000
302000,304000,300500,190826,301500
301000,303000,300000,128626,301000
301000,302500,291500,282914,295000
296500,297500,292000,171787,294000
294000,295000,284000,311649,284000
285500,291500,284000,207120,290000
291500,292000,287500,126043,290500
289500,290000,282500,174594,286500
288500,292000,286000,190993,290000
292500,301500,291500,316877,301500
302000,304000,298500,160310,303000
300000,302000,295500,162438,297500
299000,299000,292000,252867,296000
299000,299000,291500,142813,294000
294000,296500,292000,117629,294500
294500,297000,291000,122260,297000
297000,299000,295000,106812,297500
296000,299000,294000,93586,294500
295500,295500,287500,142603,289000
288000,292000,288000,137999,292000
292000,292000,288000,142490,291500
289500,293000,287500,153863,288000
289000,290000,285000,111965,287000
285000,292000,278000,211500,292000
294000,294000,284500,171871,287500
290500,290500,282500,114806,288000
289500,289500,283000,203752,284000
285000,291000,284500,284834,289000
288000,288500,284500,221582,285500
285500,287000,283500,135260,285000
285000,286000,283000,188959,285000
285000,293500,285000,194277,292000
289500,292000,283500,201094,283500
286500,288000,282000,198906,285500
287000,287000,280500,155799,280500
282500,282500,275000,187774,278000
276000,282500,276000,180180,281000
282500,283000,278000,136080,280000
283000,284500,280500,146001,284500
282000,285500,280000,167186,281500
283000,284000,281000,145300,284000
281000,282500,275500,328759,277000
277500,279000,275500,195698,278000
279000,280500,278000,140523,279500
281000,282500,280000,158666,281500
282500,282500,276500,175448,279000
279000,281000,272000,264396,272500
273000,273000,270000,127336,272000
273500,280000,272500,248092,279500
277000,278000,270500,236377,272500
276500,277000,273000,122787,273500
275500,288000,275000,309279,285000
286000,290500,284000,224300,284000
287500,289000,281500,145814,284000
282000,285500,282000,89471,285000
288000,288000,277500,109293,278500
279500,282000,276500,108965,279500
280500,280500,274500,159965,277000
279000,280000,272500,317678,280000
281500,284000,277000,134093,281500
282000,283000,278000,159173,281000
283000,297500,281000,423715,295500
294500,302500,294000,376671,301500
302500,309500,301500,430446,309000
312000,312000,303500,258317,309500
309500,311500,300500,184950,302000
300000,303000,297500,134994,300500
301000,304000,291500,179689,294500
294500,298500,292000,161294,297500
297500,297500,289500,128017,291000
297000,298000,292500,92690,295500
298000,299500,292000,142152,293500
293500,296500,291000,154787,296500
293500,297500,291000,143177,294500
300000,300000,286000,186035,286000
289500,295500,288500,257013,291000
294000,294000,287000,141071,290000
290000,290500,280500,199708,284000
286500,286500,282500,110160,286000
286000,289500,284000,93122,285000
287000,292000,284500,104085,287000
288500,291500,285500,110358,287500
286500,290000,285500,129598,287500
286500,295000,285500,193436,294000
291500,293500,290500,66574,293500
291000,293000,282000,192594,285000
286000,288000,282000,109228,283000
283000,284500,279000,178565,280500
281000,281000,274000,248347,274500
278500,278500,272000,419074,272000
272000,277000,272000,226770,274000
275000,281500,273500,164153,280000
280000,281500,276000,129139,277000
